name,films,tvshows,allies,enemies,park_attractions
'Olu Mel,,,,,
.GIFfany,,Gravity Falls,,,
627,,"Lilo & Stitch: The Series, Stitch!",,,
9-Eye,,,,,The Timekeeper
90's Adventure Bear,,Pickle and Peanut,,,
A.B.E.,,,,,
A.J. Arno,"The Computer Wore Tennis Shoes, Now You See Him, Now You Don't, The Strongest Man in the World",,,,
A.R.F.,,Puppy Dog Pals,,,
Abdullah,Cheetah,,,,
Abigail Markham,,The Legend of Tarzan,,,
Abigail the Cow,"The Fox and the Hound, The Fox and the Hound 2",,,,
Abigail,,Once Upon a Time,,,
Queen Abigail,,Elena of Avalor,,,
Abis Mal's Thugs,"The Return of Jafar, Aladdin and the King of Thieves",Aladdin (TV series),,,
Able,,Tron: Uprising,,,
Abraxas,,,,,
Absolem,"Alice in Wonderland (2010 film), Alice Through the Looking Glass",,,,
Abu,"Aladdin (film), The Return of Jafar, Aladdin and the King of Thieves, Mickey's Magical Christmas: Snowed in at the House of Mouse, Disney Princess Enchanted Tales: Follow Your Dreams, Aladdin (2019 film)","Aladdin (TV series), Hercules (TV series), House of Mouse",,,"Garden of the Twelve Friends, Voyage to the Crystal Grotto"
Abuelita,,Gravity Falls,,,
Abuelito,,Handy Manny,,,
AC and DC,,Big Hero 6: The Series,,,
Professor Acari,,Kim Possible,,,
Ace,Leroy & Stitch,"Lilo & Stitch: The Series, Stitch!",,,
Achilles,"The Hunchback of Notre Dame, The Hunchback of Notre Dame II",,,,
Prince Achmed,"Aladdin (film), Aladdin (2019 film)",Once Upon a Time,,,
Aconcagua,Saludos Amigos,,,,
Ada,,Tron: Uprising,,,
Candace Adams,,K.C. Undercover,,,
Gator Adams,,Dog With a Blog,,,
Addison,,The Suite Life on Deck,,,
Amber Addison,,Hannah Montana,,,
Claire Addison,Genius,,,,
Adelbert,Mickey's Good Deed,,,,
Adelbert's Father,,,,,
Adira,,Tangled: The Series,,,
Admiral Boom and Mr. Binnacle,"Mary Poppins (film), Mary Poppins Returns",,,,
Admirals Watson and Crick,,Miles from Tomorrowland,,,
Adonis,,Hercules (TV series),,,
Adora,,Star Darlings,,,
Adorable Norm,,Goldie & Bear,,,
Achilles,Hercules (film),Hercules (TV series),,,
Addison,"Zombies, Zombies 2, Zombies 3",Addison's Moonstone Mystery (page does not exist),,,
Aerosol,,Pair of Kings,,,
Agatha,,Jessie (TV series),,,
Agent E,,Phineas and Ferb,,,
Agent Gordon,,Lab Rats,,,
Agent K,,The Replacements,,,
Agent X,,Quack Pack,,,
Agent,Bolt (film),,,,
Aggro,,Miles from Tomorrowland,,,
